iter	RMSE
0	13.63511458
1	13.19426092
2	12.74288932
3	12.32711789
4	11.91135732
5	11.50259004
6	11.11920829
7	10.74527952
8	10.39405663
9	10.05406354
10	9.725510729
11	9.407563994
12	9.094276213
13	8.791579634
14	8.5096141
15	8.236077991
16	7.972391394
17	7.71101807
18	7.475372748
19	7.233201994
20	6.993570295
21	6.76115348
22	6.540312477
23	6.346450247
24	6.138576238
25	5.937283595
26	5.742701942
27	5.557697359
28	5.377429394
29	5.204231116
30	5.05200412
31	4.894356785
32	4.737336919
33	4.592264304
34	4.446552141
35	4.308370472
36	4.182100815
37	4.053860986
38	3.927921482
39	3.804069811
40	3.685692483
41	3.573290318
42	3.466399005
43	3.360897821
44	3.26247998
45	3.163571903
46	3.0712939
47	2.982020893
48	2.895715173
49	2.809466074
50	2.729030499
51	2.646194761
52	2.569128136
53	2.495657788
54	2.421826167
55	2.349453998
56	2.282151368
57	2.218583448
58	2.156604756
59	2.095681098
60	2.036538336
61	1.978656674
62	1.924622236
63	1.87445189
64	1.822784453
65	1.773992225
66	1.725924581
67	1.681840827
68	1.636786523
69	1.594934257
70	1.552683676
71	1.512577926
72	1.474136615
73	1.434356768
74	1.398723437
75	1.36472468
76	1.331209308
77	1.299042341
78	1.266623436
79	1.237291848
80	1.20811342
81	1.179911471
82	1.152295459
83	1.125839507
84	1.102732602
85	1.079346189
86	1.054390341
87	1.031960339
88	1.010316288
89	0.9894725925
90	0.969054787
91	0.9487354344
92	0.9296324793
93	0.9108473276
94	0.8936532602
95	0.8763392334
96	0.8619619936
97	0.8458396399
98	0.8313343968
99	0.8158238011
100	0.8016079175
101	0.7878347949
102	0.7734760782
103	0.7596058637
104	0.747310547
105	0.7345906009
106	0.7235927094
107	0.7120293454
108	0.7008416042
109	0.6898573358
110	0.679137594
111	0.6694495414
112	0.6600779984
113	0.6504765474
114	0.6411953215
115	0.6321872993
116	0.6297079626
117	0.627447752
118	0.62097622
119	0.6122607119
120	0.6044852697
121	0.5980520724
122	0.5910610278
123	0.5836696573
124	0.5766802397
125	0.5709974349
126	0.5657777775
127	0.5592844038
128	0.5532851766
129	0.5513155306
130	0.5457005711
131	0.5405411136
132	0.5387094816
133	0.5333890607
134	0.5284042188
135	0.5264678569
136	0.5218966977
137	0.5178053498
138	0.5134191968
139	0.5089385481
140	0.5070177377
141	0.5041276953
142	0.5022734784
143	0.5007449301
144	0.4964840512
145	0.4930402029
146	0.4913606998
147	0.4897412706
148	0.4857981784
149	0.4841850377
150	0.4826033028
151	0.4812623479
152	0.479761823
153	0.4781965097
154	0.476785276
155	0.4754547268
156	0.4722014839
157	0.4709948455
158	0.4696545111
159	0.4659629047
160	0.4645627724
161	0.4632779125
162	0.4599142881
163	0.4588166571
164	0.4575525983
165	0.4562913166
166	0.4526291119
167	0.4498592453
168	0.4473414839
169	0.4444387958
170	0.443283822
171	0.4422193044
172	0.4393734189
173	0.4383394971
174	0.4374421823
175	0.4365607257
176	0.4356181579
177	0.4346671702
178	0.4320685765
179	0.4313646957
180	0.4278118028
181	0.4269222567
182	0.4260157686
183	0.425124
184	0.4243509955
185	0.4236067077
186	0.4228119902
